what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1422502246712
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1422502246712
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1422502246713
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1422502246713
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1422502246713
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1422502246715
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1422502246715
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1422502246715
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1422502246716
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1422502246716
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1422502246716
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1422502246717
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1422502246717
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1422502246717
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1422502246719
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1422502246719
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1422502246720
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1422502246720
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1422502246720
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1422502246720
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1422502246720
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1422502246720
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1422502246721
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1422502246721
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1422502246721
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1422502246722
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1422502246722
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1422502246722
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1422502246723
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1422502246723
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1422502246724
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1422502246724
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1422502246724
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1422502246725
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1422502246725
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1422502246726
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1422502246734
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1422502246734
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1422502246735
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1422502246735
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1422502246735
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1422502246736
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1422502246736
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1422502246741
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1422502246742
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1422502246742
os,sysinfo,,,"macosx",1422502246744
arch,sysinfo,,,"x86",1422502246744
ws,sysinfo,,,"cocoa",1422502246744
locale,sysinfo,,,"en_US",1422502246744
processors,sysinfo,,,"4",1422502246744
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1422502246744
java.runtime.version,sysinfo,,,"1.6.0_65-b14-466.1-11M4716",1422502246744
java.specification.name,sysinfo,,,"Java Platform API Specification",1422502246744
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1422502246744
java.specification.version,sysinfo,,,"1.6",1422502246744
java.vendor,sysinfo,,,"Apple Inc.",1422502246744
java.version,sysinfo,,,"1.6.0_65",1422502246744
java.vm.info,sysinfo,,,"mixed mode",1422502246744
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1422502246744
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1422502246744
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1422502246744
java.vm.specification.version,sysinfo,,,"1.0",1422502246744
java.vm.vendor,sysinfo,,,"Apple Inc.",1422502246744
java.vm.version,sysinfo,,,"20.65-b04-466.1",1422502246744
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502249931
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502269700
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1422502275776
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1422502278589
closed,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1422502278595
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502299187
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502299205
opened,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502299248
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1422502299248
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.newWindow",1422502299289
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.linkWithEditor",1422502304123
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.linkWithEditor",1422502305357
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.collapseAll",1422502306175
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.collapseAll",1422502306775
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502310018
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502310032
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502330641
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502350473
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1422502350530
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502353888
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502374585
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1422502374642
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502378994
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502381640
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1422502395665
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20100505,"org.eclipse.jdt.launching.macosx",1422502395674
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502396685
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502399902
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502406540
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502435818
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1422502436430
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1422502436582
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1422502436690
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1422502436773
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1422502436862
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1422502436887
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1422502437570
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1422502437577
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502455238
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502457432
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1422502457486
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502472218
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502475080
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1422502475119
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1422502475181
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1422502475182
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502482980
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502485084
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502485111
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502488886
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAs",1422502489002
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1422502493263
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502496303
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502497806
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502497824
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502501043
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAs",1422502501158
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502507364
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502509414
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422502509996
